Product Name,Sub Product,Issue,Sub Issue,Company,State Name,Zip Code,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID,Date Recieved
Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"Medical Data Systems, Inc.",TN,37938,Web,2014-09-10,Closed with explanation,Yes,No,1022859,2014-09-10
Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,CNG Financial Corporation,IL,60619,Web,2014-09-10,Closed with explanation,Yes,Yes,1015618,2014-09-05
Debt collection,Credit card,False statements or representation,Indicated committed crime not paying,The Huntington National Bank,OH,43205,Web,2014-08-15,Closed with explanation,Yes,No,986928,2014-08-15
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Monterey Financial Services, Inc.",GA,30528,Web,2014-08-26,Closed with explanation,Yes,No,1002292,2014-08-26
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,Encore Capital Group,NY,14609,Web,2014-09-05,Closed with non-monetary relief,Yes,No,1009383,2014-09-02
Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,"Expert Global Solutions, Inc.",GA,31906,Web,2014-08-28,Closed with explanation,Yes,No,995003,2014-08-21
Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,CNG Financial Corporation,FL,33328,Web,2014-08-15,Closed with explanation,Yes,Yes,986948,2014-08-15
Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,Encore Capital Group,GA,30281,Web,2014-09-05,Closed with explanation,Yes,No,1009388,2014-09-02
Debt collection,I do not know,Improper contact or sharing of info,Contacted employer after asked not to,"URS Holding, LLC",TX,78229,Web,2014-08-15,Closed with explanation,Yes,No,986952,2014-08-15
Debt collection,Payday loan,Taking/threatening an illegal action,Threatened to sue on too old debt,Streamline Recovery Inc,PA,19020,Web,2014-09-10,Closed with explanation,No,No,1022938,2014-09-10
Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,Allied Interstate LLC,VA,20120,Referral,2014-09-10,Closed with non-monetary relief,Yes,No,1016015,2014-09-05
Debt collection,I do not know,Communication tactics,Called after sent written cease of comm,"HOVG, LLC",FL,32526,Web,2014-09-05,Closed with explanation,No,Yes,1016029,2014-09-05
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,Allied Interstate LLC,AZ,85268,Web,2014-08-14,Closed with non-monetary relief,Yes,No,978918,2014-08-11
Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,Collection Consultants of California,CA,91786,Postal mail,2014-09-04,Closed with explanation,Yes,No,1000915,2014-08-26
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,Encore Capital Group,TX,78750,Referral,2014-08-26,Closed with non-monetary relief,Yes,No,995047,2014-08-21
Debt collection,I do not know,Improper contact or sharing of info,Contacted me after I asked not to,"United Collection Bureau, Inc.",FL,33731,Web,2014-08-12,Closed with explanation,Yes,No,979581,2014-08-12
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"ProCollect, Inc",TX,78741,Web,2014-08-12,Closed with explanation,Yes,No,979593,2014-08-12
Debt collection,Credit card,Taking/threatening an illegal action,Sued where didn't live/sign for debt,"CIR, Law Offices",AP,96517,Web,2014-09-11,Closed with explanation,Yes,Yes,1023330,2014-09-10
Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt was paid,"National Credit Adjusters, LLC",CA,90049,Web,2014-08-18,Closed with explanation,Yes,No,979600,2014-08-12
Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,"Herbert P. Sears Co., Inc.",CA,92543,Web,2014-08-12,Closed with explanation,Yes,No,979610,2014-08-12
Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,Citibank,MD,20886,Web,2014-08-12,Closed with monetary relief,Yes,No,979617,2014-08-12
Debt collection,Federal student loan,Cont'd attempts collect debt not owed,Debt was paid,ConServe,AL,36201,Web,2014-08-12,Closed with explanation,Yes,No,979623,2014-08-12
Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,"Cavalry Investments, LLC",FL,33579,Web,2014-08-12,Closed with explanation,Yes,Yes,981202,2014-08-12
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,"Northland Group, Inc.",NY,10451,Web,2014-08-20,Closed with explanation,Yes,Yes,985854,2014-08-15
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,Citibank,NY,10451,Web,2014-08-20,Closed with explanation,Yes,Yes,985855,2014-08-15
Debt collection,Federal student loan,Taking/threatening an illegal action,Sued w/o proper notification of suit,United Student Aid (USA) Funds,GA,30144,Web,2014-08-18,Closed with explanation,Yes,No,979519,2014-08-12
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,Encore Capital Group,FL,33324,Web,2014-08-19,Closed with explanation,Yes,No,979642,2014-08-12
Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,"Expert Global Solutions, Inc.",TX,77511,Web,2014-09-05,Closed with explanation,Yes,No,1016131,2014-09-05
Debt collection,Credit card,Communication tactics,Frequent or repeated calls,Encore Capital Group,NJ,7106,Web,2014-08-14,Closed with explanation,Yes,No,979643,2014-08-12
Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"Navient Solutions, Inc.",CA,91709,Web,2014-09-05,Closed with monetary relief,Yes,No,1016918,2014-09-05
Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"APEX Asset Management, LLC",NJ,8054,Web,2014-08-14,Closed with explanation,Yes,Yes,979644,2014-08-12
Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,CIT Bank National Association,NV,89110,Web,2014-08-12,Closed with explanation,Yes,No,979535,2014-08-12
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"Portfolio Recovery Associates, Inc.",WA,98315,Web,2014-08-26,Closed with non-monetary relief,Yes,No,995122,2014-08-21
Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,"Expert Global Solutions, Inc.",TX,75147,Web,2014-08-15,Closed with explanation,Yes,No,987091,2014-08-15
Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,ERC,LA,70454,Web,2014-09-10,Closed with non-monetary relief,Yes,No,1023082,2014-09-10
Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,"Professional Finance Company, Inc.",CO,80923,Web,2014-08-22,Closed with non-monetary relief,Yes,No,994347,2014-08-21
Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,Revenue Recovery Corporation,TN,38107,Web,2014-08-15,Closed with explanation,Yes,No,987119,2014-08-15
Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,"Citizens Financial Group, Inc.",NY,11791,Web,2014-09-10,Closed with explanation,Yes,No,1016208,2014-09-05
Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,"Hunter Warfield, Inc.",NC,28387,Web,2014-08-26,Closed with explanation,Yes,No,1002471,2014-08-26
Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,"CashCall, Inc.",CA,92352,Web,2014-09-10,Closed with explanation,Yes,No,1016218,2014-09-05
Payday loan,Payday loan,Can't contact lender,Can't contact lender,CNG Financial Corporation,MI,49507,Web,2014-09-10,Closed with explanation,Yes,No,1023128,2014-09-10
Debt collection,Payday loan,Communication tactics,Called outside of 8am-9pm,ACE Cash Express Inc.,KY,40212,Phone,2014-08-29,Closed,Yes,No,1002516,2014-08-26
Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,BlueChip Financial,MD,20744,Web,2014-08-27,Closed with explanation,Yes,Yes,995222,2014-08-21
Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,Windham Professionals,NM,87113,Web,2014-10-01,Closed with non-monetary relief,Yes,No,1009593,2014-09-02
Debt collection,Auto,False statements or representation,Indicated committed crime not paying,"Ray Klein, Inc.",OR,97005,Web,2014-09-22,Closed,Yes,No,979639,2014-08-12
Student loan,Non-federal student loan,Can't repay my loan,Can't temporarily postpone payments,"Progressive Financial Services, Inc.",GA,30038,Web,2014-09-09,Closed with explanation,Yes,No,1009609,2014-09-02
Debt collection,I do not know,Communication tactics,Threatened to take legal action,"Breit Law Office, P.C.",SD,57401,Web,2014-09-23,Closed with explanation,Yes,No,987568,2014-08-16
Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,Wells Fargo & Company,AZ,85382,Web,2014-08-16,Closed with explanation,Yes,No,987570,2014-08-16
Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,"Navient Solutions, Inc.",TN,37762,Web,2014-09-16,Closed with explanation,Yes,No,1023828,2014-09-10
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,Real Time Resolutions,FL,33187,Referral,2014-09-10,Closed with explanation,Yes,No,1016322,2014-09-05
Payday loan,Payday loan,Payment to acct not credited,Payment to acct not credited,CNG Financial Corporation,VA,22408,Web,2014-08-20,Closed with explanation,Yes,No,987581,2014-08-16
Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was paid,"Pinnacle Recovery, Inc.",NY,12303,Fax,2014-09-05,Closed with explanation,Yes,Yes,1009629,2014-09-02
Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"Retrieval-Masters Creditors Bureau, Inc.",NH,3266,Phone,2014-09-10,Closed,Yes,No,1016334,2014-09-05
